Districtwise IPC Crimes - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other IPC Crimes,Total Cognizable IPC crimes,
,,,Murder (Sec.302 IPC),,,Abetment of Suicide (Sec.305/306 IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to Commit Suicide (Sec.309 IPC),,,,,,,Human Trafficking (U/S 370),Rape (Sec.376 IPC),,Extortion & Blackmailing (Sec.384 to 389 IPC),Robbery  (Sec.392/394/397 IPC),Offences against Property (Total),,,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),Offences relating to Religion (Sec.295 to 297),Cheating by Impersonation (Sec.419 IPC),Offences related to Mischief (Sec.428 to 433),Cruelty by Husband or his Relatives (Sec.498-A IPC),Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),Criminal Intimidation (Sec.506 r/w Other IPC Crimes),Insult to the Modesty of Women (Sec.509 IPC),,,
,             STATE / UT,,,Causing Death by Negligence (Sec.304-A IPC) (Col.6+Col 9 to 12),,,,,,"Assault on Women 
(Sec.354 IPC)",,Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),cyber crime(Sec.354D IPC),"Kidnapping and Abduction (Total) (Col.46+ Col.49 to Col.55)
",,,"Theft (Total) (Col.92+Col.93)
",,,, Cheating (Sec.420 IPC), Forgery,,,,,,,,,,,
,,,,,Hit and Run,,,,Acid Attack (Sec.326A IPC),,Sexual Harassment (Sec.354A IPC+AJ4+AK5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bihar,Madhepura,73,145,60,0,329,0,0,0,0,0,0,172,0,24,741,5,61,861,98,4,0,0,0,0,23,0,0,0,0,3885,
24,Bihar,Madhubani,68,210,74,0,122,0,0,0,0,7,0,109,0,15,837,2,49,1027,25,7,0,0,0,0,33,0,0,0,0,5191,
25,Bihar,Motihari,146,420,48,8,190,0,4,0,4,0,0,425,4,15,2099,44,144,2585,22,244,0,0,0,0,122,0,6,0,0,10513,
26,Bihar,Munger,56,111,69,0,51,1,0,8,2,6,0,235,0,7,261,32,25,431,100,9,0,0,0,0,21,0,0,0,0,2773,
27,Bihar,Muzaffarpur,136,493,89,0,143,0,1,19,0,0,0,763,1,57,2387,39,95,2814,0,89,0,0,0,0,106,0,0,0,0,9595,
28,Bihar,Muzaffarpur Railway,4,1,1,0,0,0,0,1,0,0,0,8,23,0,465,0,3,501,3,2,0,0,0,0,0,0,0,0,51,649,
29,Bihar,Nalanda,75,317,165,0,573,0,0,13,0,0,0,513,0,12,1218,7,91,1559,476,0,0,0,0,0,89,0,0,0,1,8316,
30,Bihar,Naugachia,43,96,25,2,29,0,0,2,0,0,0,129,0,6,243,14,57,394,12,30,0,0,1,2,8,0,1,0,3,1693,
31,Bihar,Nawadah,66,133,23,0,101,0,0,8,0,0,0,310,0,20,694,0,35,828,88,20,0,0,0,0,25,0,0,0,0,5075,
32,Bihar,Patna,307,736,74,0,1052,0,0,82,0,0,0,1332,6,85,8341,49,200,9323,2053,0,0,0,0,0,228,0,0,0,0,23758,
33,Bihar,Patna Railway,4,0,0,0,1,0,0,5,0,0,0,7,15,0,889,0,6,1042,8,0,0,0,0,0,0,0,0,0,11,1114,
34,Bihar,Purnea,80,194,97,0,328,0,0,12,0,0,0,425,3,79,1343,9,115,1558,140,113,0,0,0,0,45,0,0,0,0,5754,
35,Bihar,Rohtas,62,246,87,0,192,0,0,3,0,0,0,255,0,3,1069,9,54,1344,175,114,0,0,0,0,41,0,0,0,0,5659,
36,Bihar,Saharsa,37,110,46,0,101,0,0,2,0,0,0,101,1,16,519,6,20,587,28,15,0,0,0,0,19,0,0,0,0,3641,
37,Bihar,Samastipur,101,344,62,0,504,1,0,3,0,0,0,363,0,44,1067,10,133,1330,0,0,0,0,0,0,48,0,0,0,347,6455,
38,Bihar,Saran,108,416,40,0,395,0,0,4,0,0,0,568,0,15,1899,15,122,2183,339,8,0,0,0,0,96,37,0,0,2,10362,
39,Bihar,Sheikhpura,14,73,25,0,62,0,0,4,0,4,0,85,1,4,234,14,12,281,73,12,0,0,0,0,19,0,0,0,0,1707,
40,Bihar,Sheohar,12,30,8,0,131,0,0,0,4,0,0,72,0,4,83,7,6,110,10,12,0,0,0,0,14,0,0,0,0,990,
41,Bihar,Sitamarhi,62,203,102,0,287,0,0,2,1,2,1,506,1,42,864,36,57,1114,243,0,0,0,0,0,112,1,0,0,2,6053,
42,Bihar,Siwan,94,257,85,0,271,0,0,0,0,0,0,311,0,7,1324,11,61,1509,156,30,0,0,0,0,34,0,0,0,3,5651,
43,Bihar,Supaul,42,157,4,0,202,0,0,0,0,0,0,174,4,8,530,0,56,632,21,54,0,0,0,0,15,0,0,0,0,3684,
44,Bihar,Vaishali,117,288,31,0,462,0,0,8,0,0,0,525,0,15,1434,27,98,1740,0,204,0,0,0,0,60,0,0,0,0,6740,
45,Bihar,Economic Offences Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,2,0,0,0,19,
46,Bihar,Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Chhatisgarh,Balod,16,171,0,2,11,0,0,2,8,11,2,47,0,22,111,1,2,231,28,3,0,3,0,0,19,0,0,7,724,1591,
2,Chhatisgarh,Balodbazar,28,239,51,6,27,0,0,40,10,0,13,121,0,21,392,3,30,703,44,7,0,6,1,3,27,1,15,12,10,3194,
3,Chhatisgarh,Balrampur,56,183,0,17,16,0,0,40,7,2,2,56,4,61,114,3,12,208,0,0,0,8,0,0,23,0,0,5,611,1674,
4,Chhatisgarh,Bemetra,31,195,41,5,9,0,0,8,6,1,0,66,0,10,100,5,2,173,25,2,0,1,1,0,15,0,0,2,710,1618,
5,Chhatisgarh,Bilaspur,54,311,295,8,59,0,0,155,0,0,0,185,0,218,1138,2,37,1733,198,0,0,0,0,0,82,0,85,0,0,8381,
6,Chhatisgarh,Bizapur,36,61,57,1,36,0,0,5,0,0,0,17,2,10,24,0,2,47,0,0,0,0,0,0,4,0,0,1,84,413,
7,Chhatisgarh,Dantewara,43,67,8,4,18,0,0,13,1,4,1,28,0,9,63,3,3,96,36,0,0,2,0,0,1,0,2,2,4,583,
8,Chhatisgarh,Dhamtari,27,152,13,8,13,0,0,32,8,1,3,47,0,17,218,3,10,368,26,0,0,4,0,2,11,1,0,6,935,2050,
9,Chhatisgarh,Durg,39,312,175,10,57,0,0,74,15,9,14,261,1,76,924,10,61,1405,89,0,0,11,3,0,134,0,1090,24,0,7273,
10,Chhatisgarh,Gariyaband,19,92,0,3,16,0,0,24,1,0,5,29,0,28,87,0,5,180,29,0,0,2,0,0,9,2,108,3,14,1478,
11,Chhatisgarh,GRP Raipur,0,0,0,1,1,0,0,4,0,1,0,4,0,0,313,0,4,320,1,0,0,0,0,0,0,0,33,0,3,391,
12,Chhatisgarh,Jagdalpur,27,197,0,1,13,0,0,7,0,0,0,37,1,47,133,0,14,221,27,0,0,0,0,0,6,0,0,12,366,1454,
13,Chhatisgarh,Janjgir,27,201,39,14,22,0,0,75,0,0,0,170,0,36,364,6,15,598,41,0,0,10,0,0,58,0,58,14,7,3032,
14,Chhatisgarh,Jashpur,64,197,40,4,16,0,0,22,0,0,0,60,6,65,200,4,14,350,30,0,0,8,0,0,12,0,0,16,63,1506,
15,Chhatisgarh,Kabirdham,22,128,6,4,9,0,1,45,6,1,5,86,0,23,142,0,14,255,28,7,0,5,0,0,36,0,6,9,116,1964,
16,Chhatisgarh,Kanker,27,169,23,2,25,0,0,12,0,2,4,41,0,38,64,0,6,125,29,0,0,2,1,3,5,0,0,6,394,1138,
17,Chhatisgarh,Kondagaon,18,165,4,2,7,0,0,5,8,0,5,66,0,4,54,0,1,99,45,0,0,0,0,0,9,0,40,7,274,906,
18,Chhatisgarh,Korba,45,298,275,8,27,0,0,51,3,0,2,130,1,37,365,6,14,572,57,0,0,5,0,0,46,0,0,11,139,3292,
19,Chhatisgarh,Koriya,13,81,81,3,6,0,0,22,0,0,0,22,2,19,73,0,5,105,10,0,0,0,0,0,15,0,0,0,33,908,
20,Chhatisgarh,Mahasamund,22,269,257,8,19,0,0,30,0,0,0,76,0,22,162,1,17,280,20,0,0,2,1,1,1,2,0,10,86,1752,
21,Chhatisgarh,Mungali,19,109,17,5,10,0,0,17,1,0,3,40,0,10,76,0,3,141,30,0,0,0,3,1,18,0,0,3,12,1248,
22,Chhatisgarh,Narayanpur,9,36,2,0,10,0,0,0,0,3,0,13,0,6,12,1,2,39,6,0,0,0,0,4,2,1,2,0,1,267,
23,Chhatisgarh,Raigarh,68,304,27,19,40,0,0,69,0,0,0,126,2,75,528,1,33,771,97,0,0,1,0,1,23,5,36,15,81,3644,
24,Chhatisgarh,Raipur,75,626,130,14,124,0,0,110,9,0,0,438,2,114,1966,9,110,2763,0,0,0,15,2,2,180,4,8,35,828,10669,
25,Chhatisgarh,Rajnandgaon,32,178,171,14,28,0,0,25,9,0,6,99,0,22,276,0,13,418,37,7,0,7,0,2,21,0,7,8,134,2395,
26,Chhatisgarh,Sarguja,48,202,37,3,15,0,0,36,0,0,0,91,1,78,413,4,25,620,102,0,0,6,0,0,44,0,3,16,17,2498,
27,Chhatisgarh,Sukma,19,51,6,1,27,0,0,4,0,0,0,19,0,9,16,0,0,32,10,1,0,0,0,0,2,0,0,0,4,270,
28,Chhatisgarh,Surajpur,48,228,0,15,37,0,0,24,8,3,5,51,1,52,158,2,9,245,28,6,0,2,0,2,38,0,34,5,10,1876,
29,Chhatisgarh,Gaurela-Pendra-Marwari,13,77,14,6,9,0,0,18,0,0,0,44,0,8,72,3,3,124,16,3,0,0,0,3,10,2,1,2,13,912,
30,Chhatisgarh,Khairagarh - Chhuikhadan-Gandai,4,83,81,1,8,0,0,7,4,1,2,50,0,9,76,0,8,142,0,0,0,2,0,1,7,0,10,5,7,942,
31,Chhatisgarh,Manendragarh-Chirmiri-Bharatpur,12,113,0,6,16,0,0,14,10,7,8,40,0,35,85,3,9,180,20,0,0,0,0,0,14,0,26,3,38,1377,
32,Chhatisgarh,Mohla-Manpur-Ambagarh Chouki,12,72,0,2,1,0,0,6,0,0,0,35,0,9,29,0,2,64,4,0,0,1,0,0,3,0,0,0,0,372,
33,Chhatisgarh,Sakti,21,82,10,16,14,0,0,37,0,0,0,82,0,30,178,4,3,321,25,0,0,2,0,1,38,0,31,7,8,1486,
34,Chhatisgarh,Sarangarh-Bilaigarh,19,94,9,9,7,0,0,32,1,1,4,63,0,26,112,0,7,194,12,0,0,0,0,0,29,0,0,9,20,1268,
1,Goa,North Goa,18,82,13,3,12,0,0,21,14,0,13,53,3,36,326,9,14,433,78,4,1,4,0,3,1,0,68,15,9,1474,
2,Goa,South Goa,25,97,17,0,7,0,0,14,2,1,4,30,0,34,191,1,0,244,35,6,0,3,0,2,2,0,25,14,5,1118,
3,Goa,CID,1,1,0,0,0,0,0,2,3,0,0,1,3,3,31,2,0,34,46,0,0,0,0,0,3,0,0,1,0,119,
1,Gujrat,Ahmedabad City,100,468,51,61,123,0,5,47,68,12,23,263,1,104,3187,40,141,3865,391,124,0,1,0,16,616,2,2079,2,1935,22872,
2,Gujrat,Ahmedabad Rural,20,293,48,16,26,0,0,3,5,1,2,27,0,11,190,7,15,323,38,63,0,0,0,3,14,0,511,0,202,2597,
3,Gujrat,Amreli,18,121,6,10,36,0,0,7,3,2,1,37,0,7,114,8,12,206,21,3,0,1,0,5,62,0,631,1,209,1817,
4,Gujrat,Anand,17,217,88,8,35,0,0,4,6,1,2,35,0,16,243,2,3,382,31,21,0,0,0,25,37,0,571,0,68,3322,
5,Gujrat,Arvalli,11,140,0,6,16,0,1,2,8,0,0,74,0,6,197,1,9,303,25,8,0,0,0,4,15,0,686,0,36,1999,
6,Gujrat,Banaskantha,28,302,128,25,39,0,0,18,0,0,0,73,1,38,302,5,22,456,49,28,0,0,0,21,49,0,987,0,351,3986,
7,Gujrat,Bharuch,20,241,0,3,27,0,0,2,8,4,3,31,0,7,316,5,14,499,62,12,0,0,0,5,35,0,510,0,235,4873,
8,Gujrat,Bhavnagar,44,161,0,15,11,0,0,19,0,0,2,39,0,22,210,9,9,338,47,16,0,0,0,27,82,0,681,2,207,2510,
9,Gujrat,Botad,12,49,1,6,18,0,0,0,2,1,0,13,0,4,39,1,2,69,14,2,0,0,0,2,11,0,478,0,24,1514,
10,Gujrat,Chhotaudepur,20,115,0,10,12,0,0,3,1,3,1,29,0,8,85,1,3,124,5,1,0,0,0,0,9,0,277,0,28,3226,
11,Gujrat,CID Crime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,7,21,0,0,0,0,0,0,0,0,2,41,
12,Gujrat,Dahod,30,224,17,14,14,0,0,8,4,4,2,90,0,20,203,1,4,279,9,6,0,0,0,44,4,0,550,1,26,2424,
13,Gujrat,Dang,8,24,0,2,1,0,0,0,2,0,0,3,0,0,8,0,1,11,5,0,0,0,0,0,3,0,43,0,4,136,
14,Gujrat,Devbhumi Dwarka,8,49,0,5,9,0,0,0,2,0,0,9,0,6,44,5,5,81,6,15,0,0,0,4,40,0,159,0,11,1242,
15,Gujrat,Gandhinagar,26,253,48,15,24,0,1,2,6,2,5,64,0,10,642,9,25,878,76,49,0,0,0,0,42,0,468,0,106,3125,
16,Gujrat,Gir Somnath,14,94,3,7,19,0,0,2,2,2,1,18,0,16,62,0,5,102,7,1,0,3,0,0,15,0,271,0,104,1188,
17,Gujrat,Jamnagar,20,105,0,12,24,0,0,14,0,0,0,29,0,7,181,15,13,305,25,7,0,0,0,15,44,0,302,0,946,4712,
18,Gujrat,Junagadh,17,107,11,18,31,0,0,9,2,0,1,45,0,20,172,15,14,287,34,13,0,0,0,27,90,0,525,0,58,2251,
19,Gujrat,Kachchh East(G),21,211,0,13,37,0,0,4,6,1,3,71,0,13,432,10,33,673,59,15,0,0,0,1,49,0,422,0,96,2959,
20,Gujrat,Kachchh West(B),21,123,22,13,24,0,0,1,8,5,5,50,0,18,345,10,14,514,71,9,0,3,0,20,42,0,584,1,133,3027,
21,Gujrat,Kheda,22,223,32,16,10,0,0,19,0,0,0,52,0,19,202,3,6,285,36,24,0,0,0,2,54,0,746,0,83,2413,
22,Gujrat,Mahisagar,16,112,14,15,5,0,0,0,3,0,1,12,0,4,30,1,2,73,8,1,0,2,0,1,9,0,412,0,40,1101,
23,Gujrat,Mehsana,24,231,0,13,59,0,1,6,7,1,1,59,0,19,283,3,21,443,36,4,0,1,0,2,61,0,163,0,157,2702,
24,Gujrat,Morbi,19,218,18,8,12,0,0,0,0,0,4,30,0,8,116,6,4,186,11,15,0,0,0,2,8,0,150,0,48,3833,
25,Gujrat,Narmada,7,88,0,7,8,0,0,0,2,3,2,5,0,3,46,0,4,67,9,3,0,0,0,1,4,0,228,0,61,1221,
26,Gujrat,Navsari,8,177,0,0,10,0,0,0,0,1,0,13,0,6,56,4,5,124,13,18,0,0,0,10,16,2,121,1,12,3132,
27,Gujrat,Panchmahal,31,255,18,17,21,0,0,2,1,1,9,50,0,16,190,2,6,281,22,17,0,1,0,54,33,0,598,0,123,2447,
28,Gujrat,Patan,25,127,0,11,27,0,0,2,8,10,0,20,0,10,204,13,16,320,34,23,0,0,0,30,24,0,521,0,122,2657,
29,Gujrat,Porbandar,9,46,1,2,5,0,0,3,5,0,0,16,0,6,55,3,4,96,6,2,0,0,0,8,9,0,136,0,45,675,
30,Gujrat,Rajkot City,33,150,0,31,52,0,0,2,19,0,0,48,0,29,654,18,27,881,110,31,0,4,0,7,151,0,276,0,815,6852,
31,Gujrat,Rajkot Rural,29,179,14,17,15,0,0,1,10,1,2,34,0,10,101,7,11,166,21,6,1,2,0,14,85,0,299,0,873,2915,
32,Gujrat,Sabarkantha,23,155,0,10,22,0,0,7,17,8,4,42,0,14,371,6,20,519,69,16,0,0,0,5,42,0,453,0,37,3307,
33,Gujrat,Surat City,100,245,199,35,57,0,0,61,0,0,0,304,1,52,1764,39,56,2341,418,72,0,1,0,3,274,0,1107,1,1473,9872,
34,Gujrat,Surat Rural,40,452,78,10,20,0,0,5,2,2,1,36,0,21,236,4,16,343,27,24,0,1,0,23,25,0,239,0,139,3662,
35,Gujrat,Surendranagar,29,172,34,18,29,0,2,3,3,2,2,31,0,13,129,6,9,208,13,7,0,0,0,44,8,0,302,0,47,2238,
36,Gujrat,Tapi,11,129,52,1,3,0,0,0,1,0,0,5,0,3,43,0,0,65,3,4,0,0,0,10,3,0,40,0,108,2575,
37,Gujrat,Vadodara City,17,173,79,8,30,0,0,3,13,0,11,35,1,18,597,7,6,814,137,28,0,0,0,143,70,0,507,0,217,3460,
38,Gujrat,Vadodara Rural,24,287,57,8,18,0,0,4,8,1,3,27,0,16,168,2,6,249,34,16,0,0,2,70,24,0,288,1,33,4488,
39,Gujrat,Valsad,28,302,61,4,14,1,0,0,3,1,0,25,0,10,143,0,4,212,21,74,0,0,0,2,7,0,242,1,331,4110,
40,Gujrat,W.Rly Ahmedabad,3,3,3,5,1,0,0,1,1,0,0,1,0,0,294,0,1,301,3,1,0,0,0,0,0,0,17,0,3,411,
41,Gujrat,W.Rly Vadodara,5,1,0,1,2,0,0,0,3,0,1,1,0,0,493,2,7,521,2,5,0,0,0,0,0,0,13,0,9,609,
42,Gujrat,Cyber Ahmedabad Range,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,15,0,0,0,0,0,0,0,0,4,0,25,
43,Gujrat,Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,7,
44,Gujrat,Cyber Border Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,Gujrat,Cyber Gandhinagar Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,8,
46,Gujrat,Cyber Junagadh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,35,0,0,0,0,0,0,0,1,0,0,45,
47,Gujrat,Cyber Panchmahal Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,
48,Gujrat,Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,
49,Gujrat,Cyber Surat Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,
50,Gujrat,Cyber Vadodara Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,
1,Haryana,Ambala,28,247,0,19,70,14,0,48,37,11,21,168,2,83,855,38,14,1793,75,35,0,9,1,18,327,0,148,11,497,4713,
2,Haryana,Bhiwani,51,154,0,30,36,1,0,6,59,14,25,72,0,57,782,9,20,1193,25,33,0,3,0,4,420,0,165,8,399,4290,
3,Haryana,Faridabad,76,279,0,42,51,1,0,14,45,9,39,471,2,159,2301,34,17,2928,231,122,0,5,0,22,408,1,239,16,1352,9462,
4,Haryana,Fatehabad,14,110,27,20,24,0,0,3,30,24,13,68,0,43,605,12,8,973,65,2,0,2,0,1,125,0,218,7,306,3029,
5,Haryana,GRP,22,7,0,36,7,1,0,4,4,0,4,3,0,0,999,0,2,1007,0,0,0,0,0,0,0,3,22,0,102,1393,
6,Haryana,Gurugram,90,486,200,26,58,0,0,62,70,23,47,286,1,191,4969,66,66,5675,410,5,0,6,0,5,458,0,419,68,2476,14610,
7,Haryana,Hissar,37,153,74,34,29,0,0,32,130,62,55,110,0,106,1629,40,29,2500,171,3,0,4,0,1,287,0,645,33,1516,7965,
8,Haryana,Jhajjar,61,239,0,22,57,0,0,25,11,14,25,159,0,50,890,14,72,1348,139,21,0,4,0,4,294,0,194,19,257,4239,
9,Haryana,Jind,39,173,0,25,19,0,0,17,18,22,24,111,0,47,960,18,31,1610,66,23,0,3,0,2,207,0,87,5,328,4299,
10,Haryana,Kaithal,35,152,0,19,27,2,1,31,29,5,7,175,0,44,836,14,27,1387,98,13,0,2,0,5,132,0,18,2,61,3334,
11,Haryana,Karnal,66,399,75,43,60,5,2,86,8,24,58,150,0,128,1906,46,11,2591,545,119,0,7,0,4,341,0,65,32,983,8757,
12,Haryana,Kurukshetra,27,242,34,22,23,2,0,64,48,23,41,180,0,93,1175,13,34,1820,74,29,0,7,0,0,297,0,169,9,352,4779,
13,Haryana,Mahendergarh,33,178,0,15,30,1,0,15,16,20,16,65,0,39,382,13,3,705,39,27,0,4,0,22,95,0,115,13,526,2968,
14,Haryana,Nuh,22,172,0,8,29,0,0,12,37,20,3,108,1,71,670,8,15,962,59,19,0,2,0,0,93,0,5,0,548,3139,
15,Haryana,Palwal,58,263,97,26,105,0,2,33,62,50,31,117,0,64,952,26,2,1366,73,26,0,4,0,8,218,0,32,7,544,4489,
16,Haryana,Panchkula,13,105,0,3,21,2,0,18,19,3,22,111,0,40,776,22,12,1092,213,78,0,3,0,0,130,0,13,9,821,3244,
17,Haryana,Panipat,72,267,0,24,49,0,0,68,49,25,41,598,0,108,1851,35,12,2771,121,33,0,2,0,1,384,0,42,18,2255,8486,
18,Haryana,Rewari,41,257,0,25,33,1,0,17,38,6,12,86,0,49,743,9,12,1042,31,25,0,0,0,0,203,0,188,15,370,3572,
19,Haryana,Rohtak,62,207,0,33,62,0,0,36,67,4,24,163,1,78,1652,15,68,2291,165,0,0,2,0,1,251,0,304,5,261,5791,
20,Haryana,Sirsa,37,148,0,24,30,1,2,10,47,10,8,121,1,64,1008,20,24,1740,53,14,0,5,0,7,287,0,151,9,1501,5837,
21,Haryana,Sonipat,76,358,94,35,85,1,1,95,41,43,34,305,0,130,1252,18,118,1862,132,0,0,2,0,0,383,0,608,10,670,7064,
22,Haryana,Yamunanagar,30,227,0,30,38,1,0,35,17,14,16,207,2,105,1407,25,10,2101,171,0,0,12,0,5,346,0,146,9,451,5237,
23,Haryana,Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,1372,
24,Haryana,Charkhi Dadri,17,79,0,7,18,0,0,17,4,8,5,28,0,16,117,7,4,240,9,9,0,1,0,2,88,0,80,10,112,1276,
25,Haryana,Hansi,13,84,81,10,15,0,0,2,30,12,16,29,0,22,424,16,6,709,51,0,0,6,0,1,109,0,76,7,223,2090,
1,Himachal Pradesh,Baddi,8,61,18,6,8,0,0,7,7,2,4,18,0,36,67,1,0,122,12,7,0,0,0,0,11,0,7,1,4,712,
2,Himachal Pradesh,Bilaspur,4,18,5,7,6,1,0,8,14,5,5,22,0,13,47,0,0,82,12,1,0,2,0,2,18,0,44,4,47,949,
3,Himachal Pradesh,Chamba,3,47,0,3,1,0,0,10,16,2,4,23,0,25,22,1,0,38,15,0,0,1,0,1,16,0,17,4,9,641,
4,Himachal Pradesh,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,3,18,
5,Himachal Pradesh,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,
6,Himachal Pradesh,Hamirpur,1,24,6,5,8,0,0,0,33,0,8,24,0,6,23,0,0,50,4,6,0,0,0,0,13,1,3,12,0,773,
7,Himachal Pradesh,Kangra,15,108,27,17,16,0,0,61,18,5,15,63,0,53,131,0,2,272,58,18,0,2,0,2,38,0,15,12,22,2454,
8,Himachal Pradesh,Kinnaur,2,20,0,0,0,0,0,3,3,0,1,11,0,11,5,0,0,17,6,1,0,0,0,0,3,1,0,0,21,250,
9,Himachal Pradesh,Kullu,10,48,0,0,3,1,0,18,2,0,11,44,0,30,34,6,1,79,26,2,0,0,0,2,5,0,13,10,15,1001,
10,Himachal Pradesh,Lahaul & Spiti,2,14,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,6,1,2,0,0,0,0,0,0,3,1,0,118,
11,Himachal Pradesh,Mandi,8,65,0,11,16,0,0,57,0,3,14,49,0,57,45,0,1,84,0,0,0,1,0,0,29,4,28,11,24,1810,
12,Himachal Pradesh,Shimla,15,117,0,3,8,1,0,21,15,1,8,54,0,38,82,0,2,156,57,0,0,1,0,1,14,1,17,10,57,1743,
13,Himachal Pradesh,Sirmaur,7,79,13,7,2,0,0,20,19,1,13,34,0,48,76,0,0,143,44,0,0,7,0,5,21,3,0,3,2,1030,
14,Himachal Pradesh,Solan,4,34,0,2,1,1,0,7,10,0,2,46,0,17,89,1,1,153,35,11,0,0,0,3,4,2,20,4,14,863,
15,Himachal Pradesh,Una,6,77,0,12,4,0,0,12,13,1,5,25,0,24,43,1,1,84,22,0,0,2,0,0,24,0,11,5,0,851,
16,Himachal Pradesh,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
1,Jharkand,Bokaro,52,332,332,32,285,43,0,0,0,0,79,162,0,60,845,27,19,1049,0,0,0,1,0,0,64,0,0,0,94,3842,
2,Jharkand,Chaibasa,108,160,75,1,4,0,0,5,5,7,3,28,1,40,199,3,22,287,11,0,0,4,0,0,11,0,0,0,43,882,
3,Jharkand,Chatra,53,115,70,0,0,0,1,6,2,0,0,45,1,25,195,23,24,315,50,18,0,0,0,0,11,0,0,0,151,1602,
4,Jharkand,Deoghar,86,146,13,5,46,0,0,27,11,70,13,131,0,55,527,31,30,758,34,22,0,0,0,0,40,0,0,0,279,2782,
5,Jharkand,Dhanbad,80,274,199,7,46,0,0,112,0,0,0,105,3,77,1149,93,35,1678,5,187,0,0,0,0,62,0,59,0,884,3987,
6,Jharkand,Dhanbad Railway,2,1,0,1,0,0,1,0,2,0,0,1,3,0,516,0,0,589,0,1,0,0,0,0,0,0,0,0,1,613,
7,Jharkand,Dumka,70,191,0,5,55,0,1,12,4,13,2,39,4,34,255,25,21,377,38,3,0,3,0,0,7,0,0,0,56,1201,
8,Jharkand,Garhwa,87,191,191,10,173,0,1,34,8,26,2,113,3,36,197,20,14,285,82,15,0,1,0,0,59,0,0,0,105,1910,
9,Jharkand,Giridih,69,209,71,0,410,0,0,0,0,35,2,261,4,99,365,20,20,499,138,16,1,0,0,0,74,0,0,0,174,2950,
10,Jharkand,Godda,42,95,23,1,229,0,0,46,8,107,1,96,8,48,291,25,12,371,82,0,0,0,0,0,38,0,0,0,477,1836,
11,Jharkand,Gumla,86,155,155,7,68,0,0,16,0,0,0,50,20,106,189,0,13,229,0,61,0,1,0,0,11,0,6,0,27,1015,
12,Jharkand,Hazaribagh,84,214,189,12,46,0,1,37,1,1,0,64,1,61,683,56,32,955,188,95,0,17,0,0,61,0,6,0,45,3609,
13,Jharkand,Jamshedpur,80,62,62,17,27,0,0,48,0,0,0,137,1,77,844,23,172,1213,399,109,0,0,0,0,74,0,0,0,49,3755,
14,Jharkand,Jamshedpur Railway,5,0,0,1,2,0,0,0,2,0,0,1,0,0,131,0,1,154,0,0,0,0,2,0,0,0,0,0,0,178,
15,Jharkand,Jamtara,26,42,7,3,38,0,0,3,0,18,0,24,1,12,115,8,5,194,25,0,0,1,0,0,21,0,0,0,34,739,
16,Jharkand,Khunti,67,118,43,0,24,0,0,6,0,0,0,18,8,26,91,4,12,135,0,0,0,0,0,0,16,0,0,0,47,604,
