Districtwise IPC Crimes - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other IPC Crimes,Total Cognizable IPC crimes,
,,,Murder (Sec.302 IPC),,,Abetment of Suicide (Sec.305/306 IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to Commit Suicide (Sec.309 IPC),,,,,,,Human Trafficking (U/S 370),Rape (Sec.376 IPC),,Extortion & Blackmailing (Sec.384 to 389 IPC),Robbery  (Sec.392/394/397 IPC),Offences against Property (Total),,,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),Offences relating to Religion (Sec.295 to 297),Cheating by Impersonation (Sec.419 IPC),Offences related to Mischief (Sec.428 to 433),Cruelty by Husband or his Relatives (Sec.498-A IPC),Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),Criminal Intimidation (Sec.506 r/w Other IPC Crimes),Insult to the Modesty of Women (Sec.509 IPC),,,
,             STATE / UT,,,Causing Death by Negligence (Sec.304-A IPC) (Col.6+Col 9 to 12),,,,,,"Assault on Women 
(Sec.354 IPC)",,Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),cyber crime(Sec.354D IPC),"Kidnapping and Abduction (Total) (Col.46+ Col.49 to Col.55)
",,,"Theft (Total) (Col.92+Col.93)
",,,, Cheating (Sec.420 IPC), Forgery,,,,,,,,,,,
,,,,,Hit and Run,,,,Acid Attack (Sec.326A IPC),,Sexual Harassment (Sec.354A IPC+AJ4+AK5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arunachal Pradesh,Anjaw,1,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,11,2,2,0,0,0,0,0,0,0,0,0,23,
2,Arunachal Pradesh,Changlang,8,2,2,0,2,0,0,4,2,0,0,6,0,5,28,13,0,47,4,1,0,0,0,0,0,0,0,0,14,111,
3,Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,14,
4,Arunachal Pradesh,Dibang Valley,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,2,9,
5,Arunachal Pradesh,Kameng East,4,4,0,0,2,0,0,1,1,1,0,1,0,6,15,0,0,17,8,3,0,0,0,0,5,0,2,0,20,84,
6,Arunachal Pradesh,Kameng West,1,20,0,0,1,0,0,1,0,0,0,5,0,2,28,2,1,43,9,1,0,0,0,0,0,0,0,0,14,120,
7,Arunachal Pradesh,Kurung Kumey,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,2,2,0,0,0,0,0,0,0,0,8,23,
8,Arunachal Pradesh,Lohit,2,8,0,0,4,0,0,6,0,0,0,4,0,2,13,0,3,29,1,2,0,0,0,0,1,0,0,0,7,78,
9,Arunachal Pradesh,Longding,2,4,0,0,2,0,0,1,0,0,0,5,0,1,4,11,2,21,3,0,0,0,0,0,0,0,0,0,2,45,
10,Arunachal Pradesh,Lower Dibang Valley,0,7,2,0,1,0,0,3,0,0,0,2,0,7,19,1,0,21,1,1,0,0,0,0,0,0,0,0,2,52,
11,Arunachal Pradesh,Papum Pare City,2,8,0,3,2,0,0,10,1,0,0,26,1,20,375,7,28,497,20,12,0,0,1,0,57,0,0,16,19,898,
12,Arunachal Pradesh,Papum Pare Rural,8,5,0,0,1,0,0,2,0,0,0,3,0,0,25,1,1,33,5,2,0,0,0,0,0,0,0,0,19,92,
13,Arunachal Pradesh,Siang East,4,15,15,0,0,0,0,3,4,0,1,6,0,6,55,1,6,66,11,1,0,0,0,0,0,0,0,1,13,156,
14,Arunachal Pradesh,Siang Upper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,22,3,1,0,0,0,0,1,0,0,2,14,62,
15,Arunachal Pradesh,Siang West,2,3,3,0,0,0,0,8,0,1,0,3,1,8,18,1,1,23,4,3,0,0,0,0,3,0,1,0,1,81,
16,Arunachal Pradesh,Subansiri Lower,1,0,0,0,2,0,0,2,0,0,0,0,0,3,4,0,2,10,5,0,0,0,0,0,2,0,0,0,4,30,
17,Arunachal Pradesh,Subansiri Upper,3,3,0,0,1,0,0,3,0,0,0,1,0,0,6,0,1,10,2,2,0,0,0,0,3,0,0,0,12,58,
18,Arunachal Pradesh,Tawang,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,11,0,0,0,3,0,0,0,0,0,3,25,
19,Arunachal Pradesh,Tirap,1,2,0,0,5,0,0,0,0,0,0,0,0,1,6,4,4,17,2,1,0,0,0,0,0,0,0,0,3,34,
20,Arunachal Pradesh,Namsai,9,12,0,0,0,0,0,1,1,0,0,3,0,1,35,1,1,60,0,0,0,0,0,1,0,0,0,0,2,112,
21,Arunachal Pradesh,Siang,1,7,0,0,1,0,0,0,0,0,0,0,0,3,13,1,0,14,1,0,0,0,0,0,0,1,0,0,7,39,
22,Arunachal Pradesh,Kamle,1,3,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,9,31,
23,Arunachal Pradesh,Kra Dadi,1,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,5,20,
24,Arunachal Pradesh,Lower Siang,2,6,0,0,1,0,0,0,0,0,0,2,0,3,6,0,0,9,2,1,0,0,0,0,2,0,0,0,2,45,
25,Arunachal Pradesh,Leparada,0,2,0,0,0,0,0,1,0,0,0,1,0,1,8,0,1,9,6,0,0,0,1,0,0,0,1,1,1,34,
26,Arunachal Pradesh,Shiyomi,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,15,
27,Arunachal Pradesh,Pakkessang,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,2,17,
1,Assam,BIEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,
2,Assam,Barpeta,31,125,0,0,10,0,5,0,4,92,9,221,2,29,228,15,10,378,96,16,0,0,0,0,231,0,0,0,383,2127,
3,Assam,Baksa,15,30,5,3,14,0,0,14,1,7,0,56,6,7,48,9,8,92,17,6,0,2,0,0,28,0,0,0,6,414,
4,Assam,Bongaigaon,21,85,0,0,5,0,0,0,0,0,15,99,1,22,270,12,34,416,68,0,0,0,0,0,76,0,0,0,126,1275,
5,Assam,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,
6,Assam,Cachar,60,132,0,0,13,0,0,158,0,0,0,282,0,45,947,62,30,1430,129,86,0,0,0,0,453,0,0,0,783,5018,
7,Assam,Chirang,14,50,0,1,1,0,0,19,0,2,0,66,0,18,105,8,5,150,56,5,0,0,6,4,39,0,24,0,7,632,
8,Assam,Darrang,31,61,0,0,0,0,1,49,11,30,0,202,5,61,167,1,14,249,132,10,0,0,0,0,229,0,0,0,328,2143,
9,Assam,Dhemaji,17,99,20,3,18,0,0,14,9,10,1,51,1,22,111,14,9,171,24,1,0,1,0,0,42,0,18,0,18,648,
10,Assam,Dhubri,35,88,15,7,21,0,0,56,5,34,2,193,0,39,286,26,19,479,3,2,0,0,0,2,290,0,8,1,228,2173,
11,Assam,Dibrugarh,56,115,49,9,29,0,0,19,2,15,4,153,2,18,451,11,12,643,93,21,0,0,0,0,117,0,30,0,93,1864,
12,Assam,GRP,15,1,0,0,2,0,0,1,1,1,0,6,2,1,267,1,12,285,30,24,0,0,0,0,0,0,0,0,24,426,
13,Assam,Goalpara,23,104,0,0,26,0,0,86,0,0,0,116,0,45,260,39,4,404,116,0,0,0,0,0,198,0,0,116,0,1595,
14,Assam,Golaghat,23,116,0,11,29,0,1,0,1,1,1,84,1,22,113,6,1,179,33,4,0,0,0,0,37,0,0,1,161,876,
15,Assam,Guwahati City,74,226,33,22,36,0,0,68,36,14,17,379,3,62,2832,71,222,3991,600,149,0,0,0,0,319,0,10,0,783,9223,
16,Assam,Hailakandi,13,20,17,4,12,1,0,23,12,12,1,76,1,40,148,15,6,263,26,18,0,1,1,2,92,0,0,1,48,1080,
17,Assam,Hamren,7,12,0,0,5,0,0,4,0,0,0,26,0,6,38,5,1,58,6,0,0,0,0,0,3,0,0,0,64,199,
18,Assam,Jorhat,37,49,39,0,22,0,0,45,16,7,6,104,1,27,404,34,21,595,156,9,0,0,0,0,103,0,0,0,101,1721,
19,Assam,Kamrup,50,207,131,20,48,4,0,192,46,60,20,262,13,98,573,57,59,1072,158,25,0,0,13,2,405,0,0,12,517,4741,
20,Assam,Karbi Anglong,25,52,43,2,10,0,0,4,0,0,0,48,2,8,119,7,5,150,13,3,0,0,0,0,8,0,0,0,35,416,
21,Assam,Karimganj,32,67,1,5,40,0,0,8,5,0,2,113,0,61,208,2,5,394,74,20,0,0,0,0,240,0,2,1,714,2055,
22,Assam,Kokrajhar,37,74,50,5,31,0,0,72,0,0,0,99,6,36,214,9,8,296,40,0,0,0,0,0,99,1,12,0,141,1108,
23,Assam,Lakhimpur,35,124,24,3,24,0,0,48,0,0,4,143,3,16,205,10,14,362,57,13,0,3,0,0,147,0,16,0,64,1516,
